,word,markdown,first,second
3593,directions,,0,0
6354,directly,,0,0
1036,dirt,,0,0
5923,dirtier,,0,0
4058,dirtiness,,0,0
1243,dirty,,0,0
3303,disarray,,0,0
3483,disaster,,0,0
3587,disastrous,,0,0
3018,discern,,0,0
650,disciplined,9,personalities,style
5040,disconcerting,,0,0
3372,discover,,0,0
1956,disfigured,,0,0
4304,disgusting,,0,0
840,disheveled,2,hairstyle,character
5180,dishonored,,0,0
6231,disinterested,,0,0
5133,disjointed,,0,0
1031,dislike,,0,0
4828,disliked,,0,0
6319,dislikes,,0,0
3543,dismal,,0,0
3074,disney,,0,0
4165,disneyesque,,0,0
5032,disneypixar,,0,0
1655,disorder,,0,0
3564,disorganized,,0,0
2615,display,,0,0
574,displayed,0,0,0
718,displaying,0,0,0
3476,disrepair,,0,0
4722,dissembled,,0,0
3562,distance,,0,0
1475,distant,,0,0
2662,distantremoved,,0,0
4960,distill,,0,0
267,distinct,8,artstyle,style
2015,distinctily,,0,0
3025,distinction,,0,0
2775,distinctive,,0,0
3032,distinguish,,0,0
3188,distinguishable,,0,0
3039,distinguished,,0,0
4598,distinguishes,,0,0
5062,distortions,,0,0
5955,distract,,0,0
1594,distracted,,0,0
1487,distracting,,0,0
4659,distracts,,0,0
3860,distress,,0,0
6043,district,,0,0
2174,disturbing,,0,0
3918,ditch,,0,0
3215,diverse,,0,0
4551,diversity,,0,0
1585,divets,,0,0
6439,diving,,0,0
4501,divorced,,0,0
5355,dmx,,0,0
1207,dn,,0,0
6331,doconvey,,0,0
655,doctor,10,jobdesc,style
4475,doctors,,0,0
183,doesnt,0,0,0
4018,dog,,0,0
4417,dogs,,0,0
5506,doingb,,0,0
1091,doll,,0,0
4186,dolledup,,0,0
5203,dominance,,0,0
4754,dominant,,0,0
4879,dominating,,0,0
685,donate,11,experience,style
452,done,0,0,0
2187,doom,,0,0
4413,doomsday,,0,0
1845,door,,0,0
5880,dope,,0,0
6230,dork,,0,0
4435,dos,,0,0
